Variedade;BG 5 M;Preço médio germoplasma BG 5 M
80I82RSF IPRO;2606;R$ 6.229,32
74I77RSF IPRO;1886;R$ 5.619,43
77I79RSF IPRO;899;R$ 5.720,53
C2379IPRO (TMG2379);670;R$ 5.596,65
CZ48B18IPRO;562;R$ 3.974,12
8579RSF IPRO;472;R$ 6.381,50
CZ37B60IPRO;382;R$ 4.097,31
74K76RSF CE;362;R$ 5.942,99
81IX82RSF I2X;362;R$ 5.271,05
67I68RSF IPRO;290;R$ 6.233,86
TMG2370IPRO;287;R$ 6.400,58
81I81RSF IPRO;192;R$ 5.238,59
74IX75RSF I2X;189;R$ 6.458,71
83I85RSF IPRO;184;R$ 5.324,38
TMG2383IPRO;163;R$ 5.892,13
78KA42;161;R$ 7.094,71
48B32 IPRO;138;R$ 3.685,53
M7110IPRO;109;R$ 5.291,35
8001I2X (M8220I2X);108;R$ 5.771,51
76EA72;62;R$ 7.559,47
8473 RSF;41;R$ 5.800,00
8603I2X(M8606I2X);25;R$ 10.500,00
21283 I2X(TMG22X77);20;R$ 7.749,94
22502CE (TMG22E70CE);15;R$ 5.837,99
22025HB4(TMG430HB4);11;R$ 8.265,79
80IX81RSF I2X;9;R$ 14.196,52
81K83RSF CE;7;R$ 6.701,50
8303I2X(M8330I2X);7;R$ 10.500,00
700 I2X;2;R$ 6.015,99
79KA72;1;R$ 10.000,00
80KA72;1;R$ 10.000,00
